id;codigo;nomoficial;alt_izqini;alt_izqfin;alt_derini;alt_derfin;nomanter;tipo_c;observa;bicisenda;lado_ciclo;recorrid_x;ciclo_obse;desc_nomof;geojson
4825;3115;CERETTI;2152;2200;2151;2199;;CALLE;;Ciclovías;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.49166,-34.57985],[-58.49107,-34.58061]]]}"
10937;2127;BULNES;302;400;301;399;;CALLE;;Ciclovías;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.41861,-34.60678],[-58.41866,-34.60729]]]}"
3422;20127;SUPERI;1702;1800;1701;1799;;CALLE;;Ciclovías;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.46316,-34.57179],[-58.46415,-34.57063]]]}"
1987;23042;VERTIZ VIRREY AV.;1802;1900;1801;1899;;AVENIDA;;Ciclovías Proyectadas;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.44669,-34.5604],[-58.44819,-34.55986]]]}"
2036;16003;OBLIGADO RAFAEL, Av.Costanera;3052;3450;3051;3449;COSTANERA NORTE, Av.;AVENIDA;;Ciclovías Proyectadas;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.40769,-34.5609],[-58.40838,-34.56014],[-58.40909,-34.55942],[-58.40978,-34.55878]]]}"
6417;6055;FRENCH;2902;2930;2901;2929;;CALLE;;Ciclovías;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.40456,-34.58774],[-58.40405,-34.58803]]]}"
898;24003;WASHINGTON;4202;4300;4201;4299;;CALLE;corrección altura 8-1-03;Bicisendas preexistentes;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.48438,-34.55085],[-58.485,-34.55003]]]}"
1160;4111;MONROE;0;0;0;0;;CALLE;;Ciclovías;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.45086,-34.55291],[-58.45091,-34.55294]]]}"
2722;12107;DEL LIBERTADOR AV.;4502;4600;4501;4599;DEL LIBERTADOR GENERAL SAN MARTIN, Av.(parciales :;AVENIDA;;Ciclovías;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.43123,-34.56678],[-58.43225,-34.56617]]]}"
2760;16003;OBLIGADO RAFAEL, Av.Costanera;1802;2250;1801;2249;COSTANERA NORTE, Av.;AVENIDA;;Ciclovías Proyectadas;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.40194,-34.56792],[-58.40261,-34.56721],[-58.40307,-34.56654],[-58.40495,-34.56412]]]}"
2812;12107;DEL LIBERTADOR AV.;4402;4500;4401;4499;DEL LIBERTADOR GENERAL SAN MARTIN, Av.(parciales :;AVENIDA;;Ciclovías;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.43017,-34.56739],[-58.43068,-34.5671],[-58.43123,-34.56678]]]}"
28971;12107;DEL LIBERTADOR AV.;0;0;5201;5299;DEL LIBERTADOR GENERAL SAN MARTIN, Av.(parciales :;AVENIDA;;Ciclovías;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.43945,-34.56253],[-58.44049,-34.56237],[-58.4413,-34.56223]]]}"
2419;26006;YRURTIA, ROGELIO;5952;6000;5951;5999;;CALLE;;Bicisendas;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.50344,-34.56429],[-58.50327,-34.56428],[-58.50313,-34.56426],[-58.50302,-34.56423]]]}"
7596;10014;JUNCAL;2002;2100;2001;2069;;CALLE;;Ciclovías;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.39685,-34.59306],[-58.39575,-34.59339]]]}"
14088;13076;MEXICO;3002;3100;3001;3099;;CALLE;;Ciclovías Proyectadas;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.40933,-34.6187],[-58.40803,-34.61828]]]}"
9409;21060;TUCUMAN;1002;1040;1001;1039;;CALLE;;Ciclovías Proyectadas;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.3811,-34.60136],[-58.38159,-34.60137]]]}"
